"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P6,P12,P15,P14,P13,P9,P10,P11,P16";"TP_1.00";9;"CONN_01X01";;;
2;"C215,C214,C177,C178,C173,C172,C169,C81,C72,C1,C71,C103,C104,C105,C107";"C_0805b";15;"DNP";;;
3;"C179,C206,C13,C28,C96,C63,C65,C66,C16,C95,C97,C99,C131,C129,C128,C130";"C_0402b";16;"10n";;;
4;"C180,C213,C165,C163,C164,C168,C167,C166,C34,C33,C40,C68,C41,C119,C118,C117";"C_0402b";16;"100p";;;
5;"U13,U9";"DFN-8-1EP_2x2mm_Pitch0.5mm";2;"TRF37A73";;;
6;"P4,P3";"Pin_Header_Straight_2x04_Pitch2.54mm_SMD";2;"CONN_02X04";;;
7;"U23,U22,U24";"SON-10_2.5x2.5mm";3;"TPS7A91";;;
8;"C176,C43,C159,C153,C158,C152,C154,C161,C160,C2,C4,C6,C9,C23,C15,C207,C24,C25,C27,C30,C32,C49,C115,C58,C17,C18,C21,C108,C90,C91,C92,C151,C123,C122,C132,C133,C121,C138,C139,C120,C150,C252,C116,C211,C212,C219,C221,C223,C224,C225,C210";"C_0402b";51;"100n";;;
9;"U33";"LQFP-64_10x10mm_Pitch0.5mm";1;"FT2232H";;;
10;"C175,C174,C125,C124,C140,C141,C142,C143,C144,C147,C148,C149,C145,C146";"C_0402b";14;"DNP";;;
11;"R104,R26,R25";"R_0402b";3;"68k";;;
12;"U14";"MGA-25203";1;"MGA-25203";;;
13;"U7";"SOT-353_SC-70-5";1;"TLV172DCK";;;
14;"Q2";"SOT-416";1;"DNP(RE1C002UN)";;;
15;"U3,U12";"PAT1220";2;"PAT1220-6dB";;;
16;"R103,R91,R114,R115,R70,R20,R80,R81,R94,R93,R90,R89,R87";"R_0402b";13;"0";;;
17;"U8";"QFN-64-1EP_9x9mm_Pitch0.5mm";1;"LTC2292";;;
18;"P1,U15,P2";"CONSMA003.062";3;"SMA";;;
19;"C170,C171,C205,C199,C187,C189,C190,C191,C192,C193,C198,C200,C201,C202,C203,C204,C197,C250,C251";"C_0402b";19;"470n";;;
20;"C156,C155,C157";"C_0603b";3;"4.7u";;;
21;"U30";"FTG256";1;"XC7A15T-1FTG256C";;;
22;"CON2";"EJ508A";1;"BARREL_JACK";;;
23;"C83,C84,C162,C86,C85,C82,C80,C79,C78,C77,C76,C248,C106,C70,C93,C87,C94,C98,C100,C101,C102,C62,C64,C61,C60,C38,C26,C88";"C_0805b";28;"10u";;;
24;"R101,R2,R31,R66,R40,R50,R76,R110,R63,R64,R65,R67,R68,R69,R75,R74,R77,R78,R92,R86";"R_0402b";20;"DNP";;;
25;"U2";"SOT-23-5";1;"LP5907-1.8";;;
26;"C185,C188,C195,C194,C186,C183";"C_0805b";6;"4.7u";;;
27;"Y1";"ABM10";1;"ABM10-167-12.000MHZ-T3";;;
28;"R62,R30,R59,R61,R60";"R_0402b";5;"8.2k";;;
29;"C114,C3,C5,C7,C8,C11,C44,C36,C109,C111,C112,C113,C53,C134,C135,C136,C137,C110";"C_0402b";18;"10p";;;
30;"C54,C59,C50,C51,C45,C47,C56,C37,C35";"C_0603b";9;"DNP";;;
31;"F2,F1";"RF_via";2;"Via";;;
32;"P5,P7,P8";"MountingHole_3.2mm_M3_Pad_Via_mod";3;"CONN_01X01";;;
33;"R97,R98,R99,R100,R51,R52,R53,R54,R17";"R_0402b";9;"49.9";;;
34;"FB14,FB2,FB13,FB12,FB3,FB5,FB8,FB6,FB7,FB1";"C_0603b";10;"BLM18PG181SN1D";;;
35;"C182,C184,C196";"C_1206";3;"47u";;;
36;"C181";"C_1210";1;"100u";;;
37;"U19,U18,U17";"DFN-8-1EP_3x3mm_Pitch0.5mm";3;"L7980";;;
38;"U40";"DFN-S-8-1EP_6x5mm_Pitch1.27mm";1;"W25Q32JV";;;
39;"U29";"QFN-24-1EP_4x4mm_Pitch0.5mm";1;"ADL5802";;;
40;"U5";"SOT-353_SC-70-5";1;"NC7S04P5X";;;
41;"U27,U28,U26";"5400BL15B050E";3;"5400BL15B050E";;;
42;"C46,C42,C52,C55";"C_0402b";4;"18p";;;
43;"C48,C57";"C_0402b";2;"0.5p";;;
44;"C208,C209";"C_0402b";2;"15p";;;
45;"C14";"C_0402b";1;"51p";;;
46;"C29,C69";"C_0402b";2;"68p";;;
47;"C75";"C_0402b";1;"4.7n";;;
48;"C10,C127,C126";"C_0402b";3;"2.2n";;;
49;"C73";"C_0402b";1;"15n";;;
50;"C67";"C_0402b";1;"39p";;;
51;"C74";"C_0402b";1;"8.2n";;;
52;"L2,L4";"C_0402b";2;"0.6n";;;
53;"L3,L1";"C_0402b";2;"LQW15AN9N9J80D";;;
54;"C22,C31,C39,C220,C216";"C_0603b";5;"2.2u";;;
55;"C19,C249,C20,C222,C218,C12,C217,C89";"C_0603b";8;"1u";;;
56;"FB11,FB4";"C_0805b";2;"CIC21P101NE";;;
57;"L8,L9,L10,L11";"C_0805b";4;"2.2u";;;
58;"U6";"DFN-8";1;"NB3N551";;;
59;"CON1";"DM3BT-DSF-PEJS";1;"SD_Card_DM3BT";;;
60;"SW2";"EVP-AWBA2A";1;"SW_PUSH";;;
61;"U4";"KT2520K";1;"KT2520K";;;
62;"D6,D1";"LED_0603";2;"LED";;;
63;"R7,R6,R5,R18,R112,R117,R118,R82";"R_0402b";8;"4.7k";;;
64;"R8,R3";"R_0402b";2;"470k";;;
65;"R9,R11,R12";"R_0402b";3;"18";;;
66;"R10";"R_0402b";1;"6.98k";;;
67;"R13,R15,R38,R16,R130,R88,R85,R84";"R_0402b";8;"33";;;
68;"R4";"R_0402b";1;"3.1k";;;
69;"R28";"R_0402b";1;"59k";;;
70;"R36,R34,R32";"R_0402b";3;"4.99k";;;
71;"R35,R111,R72";"R_0402b";3;"1k";;;
72;"R33";"R_0402b";1;"7.5k";;;
73;"R29";"R_0402b";1;"6.8k";;;
74;"R37";"R_0402b";1;"590";;;
75;"R14";"R_0402b";1;"39k";;;
76;"R46";"R_0402b";1;"1.5k";;;
77;"R58,R55,R57,R56";"R_0402b";4;"550";;;
78;"R39";"R_0402b";1;"47k";;;
79;"R41";"R_0402b";1;"56";;;
80;"R42,R23,R22";"R_0402b";3;"100";;;
81;"R43";"R_0402b";1;"10.5k";;;
82;"R44,R49";"R_0402b";2;"2k";;;
83;"R45";"R_0402b";1;"1.87k";;;
84;"R48";"R_0402b";1;"1.15k";;;
85;"R1";"R_0402b";1;"5.49k";;;
86;"R47";"R_0402b";1;"3.57k";;;
87;"R71";"R_0402b";1;"12k";;;
88;"R73,R83";"R_0402b";2;"10k";;;
89;"R27";"R_0402b";1;"15k";;;
90;"R24,R109";"R_0402b";2;"240";;;
91;"R21";"R_0402b";1;"22";;;
92;"R79";"R_0402b";1;"2.2k";;;
93;"D4,D2,D3";"SOD-123F";3;"SS13FL";;;
94;"U20,U39";"SOT-23-5";2;"LP5907-3.0";;;
95;"U21";"SOT-23-5";1;"LP2985A-10DBVR";;;
96;"U25";"SOT-23-5";1;"MIC5301-3.3";;;
97;"U32";"SOT-23-6";1;"93LC46B";;;
98;"Q1";"SOT-416";1;"RE1C002UN";;;
99;"L7,L6,L5";"SRR6040A";3;"33u (SRR6040A-330M)";;;
100;"U31";"USB_MICRO";1;"USB-MICRO";;;
101;"U1";"VFQFN-24";1;"ADF4158";;;
102;"U34,U35";"VFQFN-24";2;"ADA4940-2";;;
103;"U10";"VQFN-24";1;"HMC431LP4";;;
104;"U16,U11";"XFDFN-6";2;"SKY65404";;;
105;"Z1";"coupler";1;"15dB COUPLER";;;
